,,,,,,,,,,,,Std. Error,,,,
species,Temp,pH,Kcat,Km,Vmax,logkm,logKcat,#NAME?,pKa,pI folded,pI unfolded,Kcat,Km,,,
Gm-AID,8,8.08,1.36E-06,44.05,0.026,1.64E+00,-5.866461092,5.866461092,3.73,10.41,9.95,3.05E-08,3.421,7.515842576,,0.95085059
Ag-AID,4,7.89,1.14E-06,295.1,0.022,2.47E+00,-5.943095149,5.943095149,3.425,10.45333333,9.89,4.99E-08,27.56,7.301899454,,
Mmerla-AID,4,7.77,1.92E-06,29.47,0.036,1.47E+00,-5.716698771,5.716698771,3.46,10.55,10.04,4.74E-08,2.653,7.32385532,,
Ma-AID,8,7.89,1.57E-06,67.47,0.03,1.83E+00,-5.804100348,5.804100348,3.47,10.57,10.04,3.99E-08,5.549,7.399027104,,
Pv-AID,8,7.66,2.96E-06,33.15,0.056,1.52E+00,-5.528708289,5.528708289,3.4,10.35,9.87,4.60E-08,1.849,7.33733659,,
Ga-AID,12,8.2,2.07E-05,22.86,0.396,1.36E+00,-4.684029655,4.684029655,3.08,10.52,9.93,3.27E-07,1.345,6.485452247,,
Tmi-AID,8,7.89,2.87E-06,10.83,0.055,1.03E+00,-5.542118103,5.542118103,3.68,10.54,9.95,6.44E-08,0.9843,7.19097928,,
Bb-AID,4,8.08,1.39E-06,16.73,0.026,1.22E+00,-5.8569852,5.8569852,3.54,10.59,9.93,3.72E-08,1.725,7.429924295,,
Mmol-AID,4,7.89,3.03E-06,6.438,0.058,8.09E-01,-5.518557371,5.518557371,3.84,10.47,9.94,7.39E-08,0.6859,7.131473113,,
Llo-AID,8,8.08,1.01E-05,24.12,0.192,1.38E+00,-4.995678626,4.995678626,3.56,10.77,10.08,1.92E-07,1.7,6.717831222,,
Pp-AID,8,7.89,2.05E-06,17.77,0.039,1.25E+00,-5.688246139,5.688246139,3.55,10.48,9.99,4.15E-08,1.379,7.381847267,,
Pb-AID,8,7.89,3.21E-06,10.31,0.061,1.01E+00,-5.493494968,5.493494968,3.91,10.56,9.95,7.02E-08,0.9191,7.153724758,,
Mo-AID,8,8.08,4.34E-06,110.9,0.083,2.04E+00,-5.36251027,5.36251027,3.51,10.46,9.93,1.23E-07,9.595,6.910448117,,
Mb-AID,12,7.89,1.09E-05,19.12,0.209,1.28E+00,-4.962573502,4.962573502,3.59,10.48,9.96,1.96E-07,1.307,6.706858517,,
Bm-AID,8,7.89,7.70E-06,13.28,0.147,1.12E+00,-5.113509275,5.113509275,3.38,10.53,9.89,1.72E-07,1.169,6.765229705,,
Lla-AID,8,7.56,1.81E-06,18.92,0.034,1.28E+00,-5.742321425,5.742321425,3.52,10.56,10.09,5.15E-08,2.041,7.288361462,,
Mmor-AID,0,8.08,1.19E-06,7.585,0.023,8.80E-01,-5.924453039,5.924453039,3.52,10.52,9.69,4.94E-08,1.344,7.306712843,,
Tmu-AID,0,8.08,1.02E-06,4.274,0.02,6.31E-01,-5.991399828,5.991399828,3.71,10.41,9.87,3.64E-08,0.7125,7.439137305,,
Tsc-AID,0,8.08,1.20E-06,5.972,0.023,7.76E-01,-5.920818754,5.920818754,3.96,10.32,9.78,4.21E-08,0.9249,7.375717904,,
Mma-AID,8,7.56,3.93E-06,57.69,0.075,1.76E+00,-5.40560745,5.40560745,3.68,10.86,10.06,1.33E-07,6.495,6.877129077,,
Mmerlu-AID,8,7.77,8.33E-06,18.6,0.159,1.27E+00,-5.079354999,5.079354999,3.4,10.59,9.89,1.79E-07,1.521,6.747389659,,
Sc-AID,8,7.56,6.30E-06,172.6,0.121,2.24E+00,-5.200659451,5.200659451,3.67,10.53,9.96,3.17E-07,22.18,6.499351937,,
Cr-AID,8,7.56,2.30E-06,61.05,0.044,1.79E+00,-5.638272164,5.638272164,3.5,10.73,9.99,7.60E-08,6.658,7.119472222,,
Zf-AID,8,7.89,4.22E-06,43.6,0.08,1.64E+00,-5.374687549,5.374687549,3.96,10.32,9.78,9.69E-08,3.475,7.013900375,,
Tsu-AID,8,7.89,1.30E-05,24.25,0.248,1.38E+00,-4.886056648,4.886056648,3.43,10.51,10.08,3.18E-07,2.202,6.497436331,,
Pt-AID,28,7.56,0.002082,848.4,39.74,2.93E+00,-2.681519275,2.681519275,3.72,10.77,10.12,0.0001989,122.4,3.701365217,,
Pj-AID,8,8.2,1.86E-05,34.27,0.355,1.53E+00,-4.730487056,4.730487056,3.23,10.42,9.93,5.40E-07,3.554,6.267686673,,
Dr-AID,25,7.56,0.002612,27.16,50.08,1.43E+00,-2.583026827,2.583026827,3.53,9.99,9.53,8.31E-05,3.104,4.08018998,,
Ss-AID-1,12,7.89,1.24E-05,52.73,0.238,1.72E+00,-4.906578315,4.906578315,3.43,8.76,8.73,1.87E-07,2.673,6.728855682,,
Ss-AID-2,12,7.89,2.12E-05,51.92,0.405,1.72E+00,-4.673664139,4.673664139,3.52,8.75,8.73,3.91E-07,3.253,6.407490152,,
Ol-AID,32,7.56,0.03874,1169,737.7,3.07E+00,-1.411840384,1.411840384,3.43,10.62,10.15,0.006819,285.2,2.16627931,,
Ip-AID,14,7.89,5.50E-05,68.77,1.058,1.84E+00,-4.259637311,4.259637311,3.55,9.81,9.44,1.62E-06,6.52,5.791558644,,
Tr-AID,8,7.77,3.27E-06,101.8,0.062,2.01E+00,-5.485452247,5.485452247,3.5,10.28,9.73,1.07E-07,9.85,6.971835581,,
Hs-AID,31,7.31,0.001448,133.8,28.13,2.13E+00,-2.839231438,2.839231438,3.42,10.25,9.64,3.72E-05,9.465,4.430041182,,
